id,URL,Restaurant,Longitude,Latitude,Rating,Category,PriceLevel,City
ChIJx1DdlqIdai4Rg9OsxxPFLQI,https://maps.google.com/?cid=156998250772878211,Aromasop Seafood,106.7794842,-6.115735,4.5,seafood_restaurant,MODERATE,Jakarta Barat
ChIJ__JXBVr2aS4RoFaiwg498_s,https://maps.google.com/?cid=18154921656464856736,Waroeng SS Tanjung Duren,106.7832158,-6.1721254,4.4,indonesian_restaurant,INEXPENSIVE,Jakarta Barat
ChIJG481aUr3aS4R4aLH_N9X2tk,https://maps.google.com/?cid=15697956070683550433,Michael's Garden Cafe,106.7346848,-6.1897866,4.8,restaurant,MODERATE,Jakarta Barat
ChIJCzh_0Nv3aS4R3xxHEKVQKAs,https://maps.google.com/?cid=803981203358555359,Ichisan Ramen Taman Ratu,106.7683471,-6.1696643,4.6,ramen_restaurant,MODERATE,Jakarta Barat
ChIJ-cmvgf73aS4R8VSUYBjmJwM,https://maps.google.com/?cid=227403298579436785,McDonald's,106.7627826,-6.1658674,4.4,fast_food_restaurant,MODERATE,Jakarta Barat
ChIJGUxD69n3aS4RCgbkMhmVhLA,https://maps.google.com/?cid=12719455183061648906,Kampung Kecil Kosambi,106.7235642,-6.1673082,4.6,indonesian_restaurant,MODERATE,Jakarta Barat
ChIJd14hsIj3aS4RswOGj6Htb18,https://maps.google.com/?cid=6876976434171478963,Talaga Sampireun - Puri,106.7282614,-6.168859,4.4,indonesian_restaurant,MODERATE,Jakarta Barat
ChIJUc3u4xb3aS4RNBZkSHrYRtk,https://maps.google.com/?cid=15656439174312236596,Layar Seafood & Ikan Bakar Pesanggrahan,106.7555698,-6.1955762,4.6,seafood_restaurant,MODERATE,Jakarta Barat
ChIJVVVVVSj4aS4RRwqlt5VPuAI,https://maps.google.com/?cid=195994088240384583,KFC Taman Semanan Indah,106.7251393,-6.1642137,4.4,fast_food_restaurant,MODERATE,Jakarta Barat
ChIJfXmi4E_3aS4RT203WSpGM5M,https://maps.google.com/?cid=10606898695087025487,Kampung Kecil Kedoya Puri Kembangan,106.7570235,-6.1804914,4.5,indonesian_restaurant,MODERATE,Jakarta Barat
ChIJG481aUr3aS4R4aLH_N9X2tk,https://maps.google.com/?cid=15697956070683550433,Michael's Garden Cafe,106.7346848,-6.1897866,4.8,restaurant,MODERATE,Jakarta Barat
ChIJEwwrrXH3aS4RcBo0XDRfOnc,https://maps.google.com/?cid=8591283917652499056,McDonald's Puri Kembangan,106.738068,-6.18725,4.6,fast_food_restaurant,MODERATE,Jakarta Barat
ChIJ73cl8lYdai4RTCn-G7KeTFQ,https://maps.google.com/?cid=6074404485226965324,DAPUR ROSO City Resort,106.7317003,-6.1358162,4.4,seafood_restaurant,MODERATE,Jakarta Barat
ChIJHZgeiT_3aS4RXiQeKD6kx6w,https://maps.google.com/?cid=12450100281757017182,Pantai Sentosa Seafood Market,106.7287368,-6.1825571,4.5,seafood_restaurant,MODERATE,Jakarta Barat
ChIJD45txOb5aS4RxhP_0PgkS34,https://maps.google.com/?cid=9100408123109086150,McDonald's,106.7165314,-6.2038283,4.4,fast_food_restaurant,MODERATE,Jakarta Barat
ChIJCaukbXT4aS4RMsByp_appE0,https://maps.google.com/?cid=5594783513937362994,McDonald's Citra Garden 6,106.71397,-6.12772,4.5,fast_food_restaurant,MODERATE,Jakarta Barat
ChIJEwybbp0Cai4R0OaY6cLEw58,https://maps.google.com/?cid=11512261413910931152,Saung Rawa Lele,106.690115,-6.1388513,4.4,seafood_restaurant,MODERATE,Jakarta Barat
ChIJP6K4RyH3aS4Rn0b3M4kAjfk,https://maps.google.com/?cid=17982029476442621599,Leviticus 11,106.7246618,-6.1965938,4.6,restaurant,MODERATE,Jakarta Barat
ChIJhQvpd234aS4RPRMUp50gvSc,https://maps.google.com/?cid=2863480799562568509,KFC - Citra Garden 2,106.7073208,-6.1426607,4.5,fast_food_restaurant,MODERATE,Jakarta Barat
ChIJvzfjtJ33aS4RPnHMqcR7KNM,https://maps.google.com/?cid=15215547425663775038,Permata Mubarok 1,106.7394481,-6.1766442,4.4,indonesian_restaurant,INEXPENSIVE,Jakarta Barat
ChIJ-cmvgf73aS4R8VSUYBjmJwM,https://maps.google.com/?cid=227403298579436785,McDonald's,106.7627826,-6.1658674,4.4,fast_food_restaurant,MODERATE,Jakarta Barat
ChIJGUxD69n3aS4RCgbkMhmVhLA,https://maps.google.com/?cid=12719455183061648906,Kampung Kecil Kosambi,106.7235642,-6.1673082,4.6,indonesian_restaurant,MODERATE,Jakarta Barat
ChIJd14hsIj3aS4RswOGj6Htb18,https://maps.google.com/?cid=6876976434171478963,Talaga Sampireun - Puri,106.7282614,-6.168859,4.4,indonesian_restaurant,MODERATE,Jakarta Barat
ChIJVVVVVSj4aS4RRwqlt5VPuAI,https://maps.google.com/?cid=195994088240384583,KFC Taman Semanan Indah,106.7251393,-6.1642137,4.4,fast_food_restaurant,MODERATE,Jakarta Barat
ChIJ73cl8lYdai4RTCn-G7KeTFQ,https://maps.google.com/?cid=6074404485226965324,DAPUR ROSO City Resort,106.7317003,-6.1358162,4.4,seafood_restaurant,MODERATE,Jakarta Barat
ChIJHZgeiT_3aS4RXiQeKD6kx6w,https://maps.google.com/?cid=12450100281757017182,Pantai Sentosa Seafood Market,106.7287368,-6.1825571,4.5,seafood_restaurant,MODERATE,Jakarta Barat
ChIJCaukbXT4aS4RMsByp_appE0,https://maps.google.com/?cid=5594783513937362994,McDonald's Citra Garden 6,106.71397,-6.12772,4.5,fast_food_restaurant,MODERATE,Jakarta Barat
ChIJEwybbp0Cai4R0OaY6cLEw58,https://maps.google.com/?cid=11512261413910931152,Saung Rawa Lele,106.690115,-6.1388513,4.4,seafood_restaurant,MODERATE,Jakarta Barat
ChIJhQvpd234aS4RPRMUp50gvSc,https://maps.google.com/?cid=2863480799562568509,KFC - Citra Garden 2,106.7073208,-6.1426607,4.5,fast_food_restaurant,MODERATE,Jakarta Barat
ChIJvzfjtJ33aS4RPnHMqcR7KNM,https://maps.google.com/?cid=15215547425663775038,Permata Mubarok 1,106.7394481,-6.1766442,4.4,indonesian_restaurant,INEXPENSIVE,Jakarta Barat
ChIJa3Ob1xIdai4ROg6zHBSxdcw,https://maps.google.com/?cid=14732876455951404602,Burger King Pantai Indah Kapuk,106.7560958,-6.1167855,4.5,fast_food_restaurant,MODERATE,Jakarta Barat
ChIJ5fj5_BUdai4RCrWgEgi02ps,https://maps.google.com/?cid=11230486567567013130,Jinmu Dumpling é‡‘æœ¨,106.7477846,-6.1127159,4.4,chinese_restaurant,MODERATE,Jakarta Barat
ChIJPfohxV0dai4RMSqJ7GLRyjA,https://maps.google.com/?cid=3515852681921505841,ä¸°ç››æ¸¯å¼é¥­é¢å®¶ Fong Sheng Hongkong Bakmie.Steam Nasi PIK,106.7401196,-6.1039976,4.6,restaurant,MODERATE,Jakarta Barat
ChIJGUxD69n3aS4RCgbkMhmVhLA,https://maps.google.com/?cid=12719455183061648906,Kampung Kecil Kosambi,106.7235642,-6.1673082,4.6,indonesian_restaurant,MODERATE,Jakarta Barat
ChIJd14hsIj3aS4RswOGj6Htb18,https://maps.google.com/?cid=6876976434171478963,Talaga Sampireun - Puri,106.7282614,-6.168859,4.4,indonesian_restaurant,MODERATE,Jakarta Barat
ChIJMdoAoAD5aS4RoDCnU2jGMMs,https://maps.google.com/?cid=14641420539963846816,Madun Oseng Nyak Kopsah,106.6762481,-6.1851601,4.4,indonesian_restaurant,MODERATE,Jakarta Barat
ChIJVVVVVSj4aS4RRwqlt5VPuAI,https://maps.google.com/?cid=195994088240384583,KFC Taman Semanan Indah,106.7251393,-6.1642137,4.4,fast_food_restaurant,MODERATE,Jakarta Barat
ChIJ73cl8lYdai4RTCn-G7KeTFQ,https://maps.google.com/?cid=6074404485226965324,DAPUR ROSO City Resort,106.7317003,-6.1358162,4.4,seafood_restaurant,MODERATE,Jakarta Barat
ChIJA7A_ltkCai4RYUjUM94eIx0,https://maps.google.com/?cid=2099555790985906273,Lembur Kuring Restaurant,106.6862083,-6.1121549,4.5,seafood_restaurant,MODERATE,Jakarta Barat
